id: "SSC HealthPack_exclusive"
type: ItemType_Consumable
uirep {
  icon: "icon_medkit4"
  name: "Exclusive Medkit"
  description: "This medkit is usually only sold to VIP clients of DocWagon. It will heal you or any team member. Consumed when used. Can be used outside of combat."
}
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Biotech
prereqStrings: "Player.SKILL.Skill_Biotech >= 3"
apCost: 1
maxAmmo: 0
baseHPDamage: 50
baseAPDamage: 0
rangeModTable: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Heal"
affectsFriendly: true
canTargetSelf: true
canTargetActor: true
store_cost: 1500
sorting_group: "Healing"
