id: "SSC Spell Pebble"
type: ItemType_Shaman
uirep {
  icon: "icon_pebble"
  name: "Pebble"
  description: "Causes a distracting sound but does no DMG."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Charisma
coreSkill: Skill_Conjuring
forceRating: 1
apCost: 1
prereqStrings: "Player.SKILL.Skill_Conjuring >= 1"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 9
rangeModTable: 9
rangeModTable: 9
rangeModTable: 9
rangeModTable: 9
rangeModTable: 8
rangeModTable: 8
rangeModTable: 8
rangeModTable: 8
effectModTable: 1
effectModTable: 1
noiseLevel: 8
noiseRounds: 1
modelessAbilities: "Pebble"
affectsFriendly: false
affectsEnemy: false
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
cooldown: 0
isMagic: false
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "PebbleCastAction"
  postActionFxName: ""
  hitReactionFxName: ""
  missReactionFxName: ""
}
store_cost: 1000
sorting_group: "Conjuring (Shaman)"
